uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q62030546,Christina Birch,1986,employment,http://www.wikidata.org/entity/Q1075148,"University of California, Riverside",3,public research university | public educational institution of the United States | land-grant university,1981-2000
http://www.wikidata.org/entity/Q620632,Aleksandr Lazutkin,1957,education,http://www.wikidata.org/entity/Q1719898,Moscow Aviation Institute,3,national research university | publishing company | open-access publisher,1941-1960
http://www.wikidata.org/entity/Q621462,Elliot See,1927,education,http://www.wikidata.org/entity/Q5758983,Highland Park High School,1,high school,1921-1940
http://www.wikidata.org/entity/Q621462,Elliot See,1927,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1921-1940
http://www.wikidata.org/entity/Q621462,Elliot See,1927,education,http://www.wikidata.org/entity/Q49213,University of Texas at Austin,2,public research university | public educational institution of the United States,1921-1940
http://www.wikidata.org/entity/Q621462,Elliot See,1927,education,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",5,public research university | university campus | public educational institution of the United States | organization | university,1921-1940
http://www.wikidata.org/entity/Q621462,Elliot See,1927,education,http://www.wikidata.org/entity/Q1806541,United States Merchant Marine Academy,3,university campus | public educational institution of the United States | naval academy,1921-1940
http://www.wikidata.org/entity/Q6246601,Neil Woodward,1962,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1961-1980
http://www.wikidata.org/entity/Q6246601,Neil Woodward,1962,education,http://www.wikidata.org/entity/Q49213,University of Texas at Austin,2,public research university | public educational institution of the United States,1961-1980
http://www.wikidata.org/entity/Q6246601,Neil Woodward,1962,education,http://www.wikidata.org/entity/Q432637,George Washington University,4,private not-for-profit educational institution | open-access publisher | research university | private university,1961-1980
http://www.wikidata.org/entity/Q6246601,Neil Woodward,1962,education,http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology,6,university | Institute of Technology | academic publisher | space grant institution | institute of technology | private not-for-profit educational institution,1961-1980
http://www.wikidata.org/entity/Q6246601,Neil Woodward,1962,education,http://www.wikidata.org/entity/Q1128819,United States Naval Test Pilot School,1,military school,1961-1980
http://www.wikidata.org/entity/Q632907,Leland D. Melvin,1964,education,http://www.wikidata.org/entity/Q5738861,Heritage High School,1,high school,1961-1980
http://www.wikidata.org/entity/Q632907,Leland D. Melvin,1964,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1961-1980
