,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
1981,http://www.wikidata.org/entity/Q314921,http://www.wikidata.org/entity/Q433046,Gagarin Air Force Academy|Military Academy of the General Staff of the Armed Forces of Russia,2,http://www.wikidata.org/entity/Q490188|http://www.wikidata.org/entity/Q1934911,1941-1960,1960.0,1971.0,1963.0,1974.0,1941-1960
1983,http://www.wikidata.org/entity/Q314921,http://www.wikidata.org/entity/Q440178,Gagarin Air Force Academy|Balashov Higher Military Aviation School of Pilots,2,http://www.wikidata.org/entity/Q490188|http://www.wikidata.org/entity/Q4076513,1941-1960,1960.0,1971.0,1960.0,1971.0,1941-1960
1987,http://www.wikidata.org/entity/Q314921,http://www.wikidata.org/entity/Q472491,Gagarin Air Force Academy|Balashov Higher Military Aviation School of Pilots,2,http://www.wikidata.org/entity/Q490188|http://www.wikidata.org/entity/Q4076513,1941-1960,1960.0,1971.0,1960.0,1971.0,1941-1960
1994,http://www.wikidata.org/entity/Q3157177,http://www.wikidata.org/entity/Q74018,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1961-1980,1992.0,2003.0,1986.0,1997.0,1961-1980
2029,http://www.wikidata.org/entity/Q316417,http://www.wikidata.org/entity/Q449706,U.S. Air Force Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q3428253|http://www.wikidata.org/entity/Q559549,1921-1940,1948.0,1959.0,1948.0,1959.0,1921-1940
2038,http://www.wikidata.org/entity/Q316417,http://www.wikidata.org/entity/Q634141,U.S. Air Force Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q3428253|http://www.wikidata.org/entity/Q559549,1921-1940,1948.0,1959.0,1948.0,1959.0,1921-1940
2041,http://www.wikidata.org/entity/Q316417,http://www.wikidata.org/entity/Q720191,U.S. Air Force Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q3428253|http://www.wikidata.org/entity/Q559549,1921-1940,1948.0,1959.0,1948.0,1959.0,1921-1940
2066,http://www.wikidata.org/entity/Q318513,http://www.wikidata.org/entity/Q460161,Auburn University|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q540672|http://www.wikidata.org/entity/Q3428253,1921-1940,1954.0,1965.0,1951.0,1962.0,1921-1940
2088,http://www.wikidata.org/entity/Q318965,http://www.wikidata.org/entity/Q375065,U.S. Air Force Test Pilot School|Harvard Business School,2,http://www.wikidata.org/entity/Q3428253|http://www.wikidata.org/entity/Q49126,1921-1940,1951.0,1962.0,1951.0,1962.0,1921-1940
2103,http://www.wikidata.org/entity/Q318965,http://www.wikidata.org/entity/Q720191,University of Oklahoma|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q640652|http://www.wikidata.org/entity/Q3428253,1921-1940,1951.0,1962.0,1948.0,1959.0,1921-1940
